Year,Production of Iron Ore_Ensemble,Production of Pig Iron_Ensemble,Total Production of Crude Steel_Ensemble,Production of Crude Steel in Electric Furnaces_Ensemble,Production of Crude Steel in Oxygen-blown Converters_Ensemble,Production of Ingots_Ensemble,Production of Continuously-cast Steel_Ensemble,Production of Hot Rolled Products_Ensemble,Production of Hot Rolled Flat Products_Ensemble,Production of Hot Rolled Long Products_Ensemble,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_Ensemble",Production of Non-metallic Coated Sheet and Strip_Ensemble,Production of Other Metal Coated Sheet and Strip_Ensemble,Production of Wire Rod_Ensemble,Production of Railway Track Material_Ensemble,Total Production of Tubular Products_Ensemble,True Steel Use (finished steel equivalent)_Ensemble,Apparent Steel Use (crude steel equivalent)_Ensemble,Apparent Steel Use (finished steel products)_Ensemble,True Steel Use per Capita (kg finished steel equivalent)_Ensemble,Apparent Steel Use per Capita (kg crude steel)_Ensemble,Apparent Steel Use per Capita (kg finished steel products)_Ensemble,Exports of Iron Ore_Ensemble,Exports of Pig Iron_Ensemble,Exports of Scrap_Ensemble,Exports of Ingots and Semis_Ensemble,Exports of Flat Products_Ensemble,Exports of Long Products_Ensemble,Exports of Semi-finished and Finished Steel Products_Ensemble,Exports of Tubular Products_Ensemble,Imports of Iron Ore_Ensemble,Imports of Pig Iron_Ensemble,Imports of Scrap_Ensemble,Imports of Direct Reduced Iron_Ensemble,Imports of Ingots and Semis_Ensemble,Imports of Flat Products_Ensemble,Imports of Long Products_Ensemble,Imports of Semi-finished and Finished Steel Products_Ensemble,Imports of Tubular Products_Ensemble,Indirect Exports of Steel_Ensemble,Indirect Imports of Steel_Ensemble,Indirect Net Exports of Steel_Ensemble,Total_Steel_Consumption_Ensemble
2037,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2038,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2039,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2040,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2041,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2042,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2043,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,2656.028583984375,848.0297070312499,1669.6802441406248,631.6107153320313,88.61268341064454,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,1881712.378043719
2044,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2045,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2046,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2047,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2048,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2049,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
2050,925988.48,3528.1890576171872,5505.1449609374995,1440.9515966796876,4067.5736474609375,27.386718635559085,5505.3132910156255,4897.09580078125,3209.7901171875,1769.4609912109377,2656.028583984375,844.43970703125,1665.330244140625,630.5757153320312,88.61268341064454,157.74616455078126,10629.67958984375,7097.77453125,6406.548251953125,425.83995214843753,275.3845749511719,248.64935778808592,877465.0875,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.8119067382813,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1948.9559301757813,541.2279748535157,481.81578552246094,5457.36923828125,0.0,1879387.2645437187
